yardline_100,ydstogo,td_prob,fg_prob,opp_td_prob,opp_fg_prob,no_score_prob,ep,n
15.0,1.0,0.27585045,0.56133246,0.04178488,0.022371786,0.09717582,3.2565167,41
15.0,2.0,0.06995302,0.8544799,0.02486033,0.013906757,0.0361251,2.8376462,26
15.0,3.0,0.02139565,0.92447704,0.016889228,0.010013207,0.026892204,2.7749515,19
15.0,4.0,0.023233471,0.921474,0.019926878,0.01162724,0.023325887,2.7527568,29
15.0,5.0,0.021236302,0.9192547,0.017866222,0.010390539,0.030916927,2.7501576,22
15.0,6.0,0.02233355,0.9151428,0.018659497,0.01142058,0.032069597,2.7369258,26
15.0,7.0,0.012401395,0.9427123,0.018487837,0.010850715,0.015274454,2.7529001,21
15.0,8.0,0.010261713,0.9399354,0.014790028,0.009966691,0.024786452,2.7581525,14
15.0,9.0,0.0150529975,0.9379027,0.019840855,0.012144149,0.014733421,2.7437537,16
15.0,10.0,0.014881303,0.92225116,0.014374873,0.008981729,0.03923471,2.7433808,28
15.0,11.0,0.013748549,0.9217489,0.014645472,0.010376709,0.039099116,2.7279224,12
15.0,12.0,0.024116557,0.89156187,0.02058272,0.011180585,0.052068613,2.666041,10
15.0,13.0,0.008350377,0.9371748,0.013166137,0.0077493545,0.033376943,2.754494,6
15.0,14.0,0.013235126,0.9341371,0.015762348,0.010285218,0.026247753,2.7538188,8
15.0,15.0,0.0136810895,0.92195356,0.01633625,0.010121103,0.037555747,2.7169373,35
16.0,1.0,0.29911014,0.5649304,0.047381185,0.03326211,0.053892627,3.3581004,29
16.0,2.0,0.11405659,0.78225785,0.03297038,0.020527469,0.04925874,2.8533435,9
16.0,3.0,0.024587486,0.8975253,0.019405015,0.012008436,0.04607026,2.6928895,19
16.0,4.0,0.025907334,0.91128975,0.023227146,0.0139895575,0.025124142,2.7107794,14
16.0,5.0,0.018002072,0.9216677,0.02033875,0.01247825,0.027154837,2.7111568,34
16.0,6.0,0.014095843,0.9305447,0.019433271,0.013021447,0.02258972,2.7151713,27
16.0,7.0,0.021220805,0.8855312,0.016081516,0.012361813,0.064419195,2.6554995,11
16.0,8.0,0.029284447,0.88208,0.02000344,0.014006585,0.05415247,2.6692858,12
16.0,9.0,0.018586941,0.91181374,0.019222891,0.012516998,0.03745518,2.6934764,12
16.0,10.0,0.018902978,0.9086085,0.01613705,0.010475636,0.045511525,2.713807,21
16.0,11.0,0.013590711,0.9331563,0.019941399,0.012728853,0.02028451,2.7167733,9
16.0,12.0,0.017689222,0.9214878,0.021397006,0.012813022,0.026227696,2.7000692,15
16.0,13.0,0.01156345,0.9345412,0.017026426,0.011440096,0.025157094,2.7310166,8
16.0,14.0,0.01668853,0.9228558,0.019673286,0.01177743,0.028659673,2.7122245,11
16.0,15.0,0.016920216,0.9304904,0.02163796,0.013417747,0.017140776,2.7182627,9
16.0,16.0,0.01733822,0.92181134,0.020325731,0.013157916,0.026960365,2.705116,29
17.0,1.0,0.2511822,0.59369063,0.040552642,0.027450869,0.08587001,3.1739287,31
17.0,2.0,0.038525756,0.8847669,0.02541697,0.016814025,0.03395527,2.6957057,20
17.0,3.0,0.03164111,0.8988154,0.027379937,0.017382178,0.024256906,2.674263,18
17.0,4.0,0.025985612,0.90084904,0.026938237,0.015828827,0.029853761,2.6485562,17
17.0,5.0,0.029122349,0.8899018,0.025722837,0.016696736,0.038080417,2.6434515,19
17.0,6.0,0.017536545,0.91300094,0.020989079,0.011897771,0.03623448,2.6790674,13
17.0,7.0,0.014889184,0.9241346,0.023935724,0.015439418,0.021245023,2.6626432,23
17.0,8.0,0.017351361,0.9125264,0.023303684,0.014187876,0.032273613,2.6532698,16
17.0,9.0,0.023580197,0.8897946,0.023885036,0.015265347,0.046988107,2.6214452,19
17.0,10.0,0.013515498,0.9057987,0.0140332095,0.008553085,0.05784442,2.6881473,19
17.0,11.0,0.012071241,0.92168206,0.019553645,0.013614123,0.032820683,2.67185,6
17.0,12.0,0.015780745,0.93033427,0.026736526,0.015947666,0.010828504,2.666295,8
17.0,13.0,0.011542693,0.9241738,0.01819677,0.011751981,0.034071114,2.6906624,7
17.0,14.0,0.01149492,0.9205868,0.018762076,0.011131472,0.037753936,2.677353,6
17.0,15.0,0.012046423,0.9035276,0.0137267485,0.010091761,0.06031347,2.6684847,10
17.0,16.0,0.009076546,0.9191954,0.017964466,0.009623905,0.043909054,2.666405,2
17.0,17.0,0.018881528,0.9160102,0.026323808,0.01597529,0.022358289,2.6479483,19
18.0,1.0,0.2745049,0.5666222,0.052659974,0.03172855,0.07310436,3.1583934,27
18.0,2.0,0.0695541,0.8268435,0.02822386,0.018123344,0.05660363,2.7156582,12
18.0,3.0,0.033821285,0.88134295,0.028716043,0.018327737,0.03719836,2.6249497,24
18.0,4.0,0.024269916,0.8947883,0.02784922,0.015782695,0.036844913,2.6120558,18
18.0,5.0,0.025177311,0.89596105,0.026094615,0.01727639,0.034976665,2.6296916,21
18.0,6.0,0.019196086,0.904197,0.02544944,0.015080589,0.035677686,2.6235116,17
18.0,7.0,0.021727135,0.90820956,0.029266564,0.018447906,0.021889817,2.6164482,15
18.0,8.0,0.016213072,0.9158632,0.027343603,0.016166113,0.024032485,2.6210945,21
18.0,9.0,0.022240352,0.9010728,0.026491951,0.016510641,0.033176117,2.6239667,10
18.0,10.0,0.012275017,0.9066128,0.016898647,0.0104767,0.05344297,2.6559503,35
18.0,11.0,0.021293007,0.9068874,0.029666925,0.016448276,0.025253732,2.6127405,11
18.0,12.0,0.009811696,0.90785414,0.016001195,0.009313582,0.05675897,2.6523027,3
18.0,13.0,0.022926427,0.90185326,0.03349259,0.01962591,0.02158253,2.5727012,8
18.0,14.0,0.018753858,0.8895882,0.021339314,0.014845952,0.054919995,2.606554,11
18.0,15.0,0.013397527,0.91132796,0.022729423,0.01630639,0.035907406,2.6196399,10
18.0,16.0,0.021041185,0.92049396,0.037300687,0.018972151,0.0016937589,2.5904198,2
18.0,17.0,0.023030862,0.91933924,0.033228472,0.019824756,0.0040825456,2.626993,3
18.0,18.0,0.018685397,0.8994155,0.025013706,0.01672608,0.0397321,2.6038265,17
19.0,1.0,0.264426,0.5711219,0.06301201,0.03506128,0.06500354,3.0190053,36
19.0,2.0,0.040238917,0.85284853,0.028930038,0.017473515,0.059979178,2.585379,17
